Mindat Locality ID,Long-form identifier,GUID,Latitude & Longitude,Altitude,GeoHash,GRN,Type,Köppen climate type,Mineral
108301,mindat:1:2:108301:,Generated_GUID,"46.37767,7.73888",2032,u0jxb4g38,N31E04,Alpine Pasture,Tundra,Anatase
56576,mindat:1:2:56576:,Generated_GUID,"47.05250,9.17306",2211,u0qe8txse,N32E05,Unknown,Temperate oceanic climate,Cerussite
123561,mindat:1:2:123561:,Generated_GUID,"46.32306,7.75694",1157,u0jx88b7m,N31E04,Tunnel,Tundra,Cerussite
191627,mindat:1:2:191627:,Generated_GUID,"46.11760,8.67350",1395,u0nnm77y7,N31E05,Valley,Subarctic climate,Graftonite
193355,mindat:1:2:193355:,Generated_GUID,"46.54431,8.56416",2025,u0q0fchhr,N32E05,Tunnel,Tundra,Rutile
192990,mindat:1:2:192990:,Generated_GUID,"46.66265,8.52474",1899,u0q13yxt8,N32E05,Cleft (Dormant) - last checked 2024,Tundra,Quartz
191765,mindat:1:2:191765:,Generated_GUID,"46.47653,8.72227",1836,u0q0qkz37,N31E05,Lake,Subarctic climate,'Apatite'
193027,mindat:1:2:193027:,Generated_GUID,"46.41063,8.68020",2451,u0q0j8b9x,N31E05,Mountain,Subarctic climate,var. Rock Crystal
188640,mindat:1:2:188640:,Generated_GUID,"46.32406,9.62925",2896,u0nze15c1,N31E05,Slope,Tundra,Epidote
223683,mindat:1:2:223683:,Generated_GUID,"46.16486,7.70432",2540,u0jqxk41g,N31E04,Unknown,Tundra,Nsutite
134488,mindat:1:2:134488:,Generated_GUID,"46.35648,8.49212",1785,u0np9nzy0,N31E05,Alpine Pasture,Subarctic climate,Matildite
191647,mindat:1:2:191647:,Generated_GUID,"46.67700,8.64087",2714,u0q1s9k14,N32E05,Pass,Tundra,'Chlorite Group'
23617,mindat:1:2:23617:,Generated_GUID,"46.12000,7.00139",1652,u0hyr7fk2,N31E04,Prospect,Tundra,Schoepite
14678,mindat:1:2:14678:,Generated_GUID,"46.76454,8.75064",1557,u0q4p1hp0,N32E05,Valley,Tundra,Fluorapophyllite-(K)
250821,mindat:1:2:250821:,Generated_GUID,"46.10169,7.58245",2364,u0jqk893u,N31E04,Glacier,Tundra,Pentlandite
122627,mindat:1:2:122627:,Generated_GUID,"46.53047,9.32470",1795,u0q8snw59,N32E05,Deposit,Tundra,Geigerite
134120,mindat:1:2:134120:,Generated_GUID,"47.11667,7.55000",480,u0mk5c3dr,N32E04,Meteorite Fall Location,Temperate oceanic climate,'Fayalite-Forsterite Series'
245918,mindat:1:2:245918:,Generated_GUID,"46.29264,10.07775",968,u0ppm766h,N31E06,Village,Tundra,Senarmontite
188912,mindat:1:2:188912:,Generated_GUID,"46.55828,9.02326",2997,u0q2v7dt9,N32E05,Mountain,Tundra,'Chlorite Group'
191468,mindat:1:2:191468:,Generated_GUID,"46.26651,8.08563",3194,u0jxpyxcb,N31E05,Mountain,Subarctic climate,var. Iron Rose
133201,mindat:1:2:133201:,Generated_GUID,"46.55611,8.56722",2093,u0q0fgq3n,N32E05,Mountain Area,Tundra,'Chlorite Group'
193361,mindat:1:2:193361:,Generated_GUID,"46.46612,7.87721",3130,u0m876bh8,N31E04,Mountain,Tundra,'Pyroxene Group'
133996,mindat:1:2:133996:,Generated_GUID,"46.32670,9.56654",1102,u0nz99w0s,N31E05,Valley,Tundra,Titanite
271093,mindat:1:2:271093:,Generated_GUID,"47.50562,7.85212",533,u0mw68jsr,N32E04,Unknown,Temperate oceanic climate,Muscovite
191715,mindat:1:2:191715:,Generated_GUID,"47.68622,8.59708",572,u0qp79h0q,N32E05,Hill,Temperate oceanic climate,Pyrite
108287,mindat:1:2:108287:,Generated_GUID,"46.07528,7.93000",3164,u0jwh7wry,N31E04,Mountain,Tundra,Titanite
133207,mindat:1:2:133207:,Generated_GUID,"46.44849,8.49593",2567,u0q01rdw1,N31E05,Slope,Subarctic climate,Muscovite
418871,mindat:1:2:418871:,Generated_GUID,"46.62215,8.83949",1698,u0q31pk9w,N32E05,Placer,Tundra,Cerussite
245911,mindat:1:2:245911:,Generated_GUID,"46.37486,10.03378",2129,u0ppu663h,N31E06,Alpine Pasture,Tundra,Metastibnite
188757,mindat:1:2:188757:,Generated_GUID,"47.05100,8.79985",1129,u0q78jrgg,N32E05,Quarry,Temperate oceanic climate,Baryte
246339,mindat:1:2:246339:,Generated_GUID,"46.54711,9.48568",2239,u0q8zcek8,N32E05,Mountain,Tundra,Riebeckite
68485,mindat:1:2:68485:,Generated_GUID,"46.11111,7.32583",2211,u0jnqdq88,N31E04,Lake,Tundra,'Chlorite Group'
122697,mindat:1:2:122697:,Generated_GUID,"46.08009,7.07598",793,u0jn1h8ef,N31E04,Unknown,Tundra,Römerite
133248,mindat:1:2:133248:,Generated_GUID,"46.69310,8.80050",1860,u0q38k0r4,N32E05,Unknown,Tundra,'Plagioclase'
191420,mindat:1:2:191420:,Generated_GUID,"47.51918,7.65339",400,u0mqq4t52,N32E04,Quarry,Temperate oceanic climate,Fluorite
29216,mindat:1:2:29216:,Generated_GUID,"46.08909,7.10774",1313,u0jn1wr8q,N31E04,Unknown,Tundra,Brochantite
134086,mindat:1:2:134086:,Generated_GUID,"46.23765,7.63596",2553,u0jrjc23f,N31E04,Mine (Abandoned) - last checked 2020,Tundra,Chalcanthite
7758,mindat:1:2:7758:,Generated_GUID,"46.69243,8.70162",2411,u0q1wh074,N32E05,Valley,Tundra,Phenakite
49520,mindat:1:2:49520:,Generated_GUID,"47.05762,9.45112",493,u0qexnd4e,N32E05,Mine,Temperate oceanic climate,var. Manganese-bearing Calcite
188750,mindat:1:2:188750:,Generated_GUID,"47.56519,8.34761",392,u0mytfyx3,N32E05,Quarry,Temperate oceanic climate,Baryte
23066,mindat:1:2:23066:,Generated_GUID,"46.21007,7.82152",1210,u0jwcur3n,N31E04,Group of Quarries,Tundra,'Chlorite Group'
191448,mindat:1:2:191448:,Generated_GUID,"46.83639,8.36056",1543,u0mfqnrcx,N32E05,Mountain,Subarctic climate,Fluorite
14685,mindat:1:2:14685:,Generated_GUID,"46.16583,7.72333",2807,u0jqxspzq,N31E04,Glacier,Tundra,Nsutite
359484,mindat:1:2:359484:,Generated_GUID,"46.30192,10.03446",1616,u0ppkm4b5,N31E06,Quarry,Tundra,Forsterite
