Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral,Category
56576,"47.05250,9.17306",2211,Unknown,Temperate oceanic climate,Cerussite,PHOSPHATE
123561,"46.32306,7.75694",1157,Tunnel,Tundra,Cerussite,PHOSPHATE
191627,"46.11760,8.67350",1395,Valley,Subarctic climate,Graftonite,SILICATE
193355,"46.54431,8.56416",2025,Tunnel,Tundra,Rutile,RUTIL
192990,"46.66265,8.52474",1899,Cleft (Dormant) - last checked 2024,Tundra,Quartz,QUARTZ
191765,"46.47653,8.72227",1836,Lake,Subarctic climate,Apatite,QUARTZ
193027,"46.41063,8.68020",2451,Mountain,Subarctic climate,Rock Crystal,QUARTZ
188640,"46.32406,9.62925",2896,Slope,Tundra,Epidote,SILICATE
223683,"46.16486,7.70432",2540,Unknown,Tundra,Nsutite,SILICATE
134488,"46.35648,8.49212",1785,Alpine Pasture,Subarctic climate,Matildite,SILICATE
191647,"46.67700,8.64087",2714,Pass,Tundra,Chlorite,CHLORIT
23617,"46.12000,7.00139",1652,Prospect,Tundra,Schoepite,SULFATE_UND_HYDROXIDE
14678,"46.76454,8.75064",1557,Valley,Tundra,Fluorapophyllite,QUARTZ
250821,"46.10169,7.58245",2364,Glacier,Tundra,Pentlandite,SULFIDE
122627,"46.53047,9.32470",1795,Deposit,Tundra,Geigerite,OXIDE
134120,"47.11667,7.55000",480,Meteorite Fall Location,Temperate oceanic climate,Fayalite-Forsterite Series,PYROXENE
245918,"46.29264,10.07775",968,Village,Tundra,Senarmontite,ARSENATE
188912,"46.55828,9.02326",2997,Mountain,Tundra,Chlorite,CHLORIT
191468,"46.26651,8.08563",3194,Mountain,Subarctic climate,Iron Rose,MAGNETIT_UND_HAEMATIT
133201,"46.55611,8.56722",2093,Mountain Area,Tundra,Chlorite,CHLORIT
193361,"46.46612,7.87721",3130,Mountain,Tundra,Pyroxene,PYROXENE
133996,"46.32670,9.56654",1102,Valley,Tundra,Titanite,TITANIT
271093,"47.50562,7.85212",533,Unknown,Temperate oceanic climate,Muscovite,SILICATE
191715,"47.68622,8.59708",572,Hill,Temperate oceanic climate,Pyrite,SULFIDE
108287,"46.07528,7.93000",3164,Mountain,Tundra,Titanite,TITANIT
133207,"46.44849,8.49593",2567,Slope,Subarctic climate,Muscovite,SILICATE
418871,"46.62215,8.83949",1698,Placer,Tundra,Cerussite,PHOSPHATE
245911,"46.37486,10.03378",2129,Alpine Pasture,Tundra,Metastibnite,PYROXENE
188757,"47.05100,8.79985",1129,Quarry,Temperate oceanic climate,Baryte,CARBONATE
246339,"46.54711,9.48568",2239,Mountain,Tundra,Riebeckite,PYROXENE
68485,"46.11111,7.32583",2211,Lake,Tundra,Chlorite,CHLORIT
122697,"46.08009,7.07598",793,Unknown,Tundra,Römerite,PYROXENE
