Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral
242510,"46.57627,8.75081",2909,Unknown,Tundra,Quartz
155814,"46.49994,8.49958",1468,Hamlet,Subarctic climate,Cannizzarite
188650,"47.36649,7.22712",596,Unknown,Temperate oceanic climate,Chalcedony
157670,"45.98333,7.78500",3105,Ridge,Subarctic climate,Zoisite
265486,"46.56936,8.45579",2633,Mountain Area,Subarctic climate,Bertrandite
134484,"47.05641,7.62489",568,Unknown,Temperate oceanic climate,Brushite
7685,"46.29500,9.11361",885,Group of Quarries,Subarctic climate,Fluorapophyllite
417317,"46.44525,8.27623",2158,Alpine Pasture,Subarctic climate,Zircon
134122,"47.13338,7.14407",1335,Meteorite Fall Location,Temperate oceanic climate,Iron
134509,"47.02833,8.62111",548,Quarry,Temperate oceanic climate,Baryte
131013,"46.23728,7.85210",1473,Deposit,Tundra,Arsenopyrite
134375,"46.01654,7.84767",3261,Mountain,Tundra,Kyanite
29366,"47.18167,7.25167",616,Quarry,Temperate oceanic climate,Marcasite
191717,"46.04620,7.93552",2823,Glacier,Tundra,Magnesite
133278,"46.03675,7.82284",2918,Deposit,Tundra,Piemontite
220211,"46.65558,6.53632",545,Quarry,Temperate oceanic climate,Marcasite
12413,"46.06861,7.91583",2997,Outcrop,Tundra,Piemontite
122692,"46.19028,7.68056",2500,Mine,Tundra,Gladite
188887,"46.19742,8.13984",1006,Village,Subarctic climate,Matildite
191655,"47.69108,8.59052",441,Pit,Temperate oceanic climate,Haüyne
29314,"46.79556,6.52056",756,Group of Quarries (Abandoned) - last checked 2023,Temperate oceanic climate,Marcasite
133994,"46.13320,8.71930",189,Valley,Subarctic climate,Dumortierite
134445,"46.11749,6.97984",2271,Vein,Temperate oceanic climate,Torbernite
424715,"46.29847,10.01472",2252,Group of Mines (Abandoned) - last checked 2022,Tundra,Actinolite
191652,"46.45638,9.38944",2340,Valley,Subarctic climate,Hematite
29199,"46.40924,8.11506",1757,Creek,Subarctic climate,Cerussite
188954,"46.32444,9.70139",2447,Glacier,Tundra,Cerussite
428982,"46.68385,7.77045",649,Quarry,Temperate oceanic climate,Fluorite
192978,"46.55610,8.25993",2756,Cleft,Subarctic climate,Phenakite
127199,"46.23917,7.65389",2986,Unknown,Tundra,Muscovite
417930,"46.39445,9.17576",2161,Outcrop,Subarctic climate,Amphibole
404851,"47.70684,8.81155",412,Dike,Temperate oceanic climate,Fayalite-Forsterite Series
